Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@SupardinWaly,"Situs Web Masih Jadi Sarang Utama Judi Online di Indonesia: Tantangan dan Upaya Pemberantasan [ Selengkapnya di 
https://
facebook.com/share/p/18nRC5
EVFu/
… ]

#StopJudiOnline #DigitalSafety #Komdigi #ProtectOurChildren #LiterasiDigital #IndonesiaTanpaJudi #PlatformResponsibility #SafeInternet",,,,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
skwslots.com and 
http://
skwplay.com are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@KompasTV,"Police Raid 2 Locations Suspected of Being Gambling Sites Disguised as Children's Games in Jakarta


https://
kompas.tv/regional/67462
8/polisi-gerebek-2-tempat-yang-diduga-sebagai-lokasi-judi-berkedok-permainan-anak-di-jakarta
…",,,,"Replies: , Retweets: , Likes: 2",0
@telomambu221,"Angka yang mengkhawatirkan sih, sebanyak itu ya ternyata. Capaian komdigi mengenai Pemberantasan Judi Online, langkah yang taktis dan tegas!",,,,"Replies: , Retweets: , Likes: ",1
@lezi_kuwala,"Tugas komdigi:
Memberantas judol 
Memberantas hak bersuara masyarakat ",,,@indepenSumatera,"Replies: , Retweets: , Likes: 1",0
@sospolkw,"Yth pak 
@prabowo
 
Gmn kbrnya pemberantasan judi online pak,kok malah tambah marak aja...
Anda tinggal perintah aja tu Komdigi tuk blokir kok sulit amat.",@prabowo,,,"Replies: , Retweets: 1, Likes: 1",0
@arinta_nada,"Pemberantasan judi online terus diperkuat lewat langkah terukur Komdigi. Bukan hanya memblokir situs, tapi memutus jaringan yang merugikan masyarakat. Pendekatan strategis ini menunjukkan keseriusan negara menjaga ruang digital tetap aman. #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: ",1
@ngecace,"Pak Budi Arie ini ga ada salahnya tapi dicari2 sama pemerintah skrg.
Padahal dirinya adalah pelopor pemberantasan judi online dan koruptor di komdigi..
Dia sengaja menitipkan orang kepeprcayaannya unt membongkar itu semua,lah kok malah mau ditersangkakan",,@DarsAlexandra1,,"Replies: , Retweets: , Likes: ",0
@Monikanihil,Pentingnya Mendukung Pemberantasan Praktik Judi Online. #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas,,,,"Replies: , Retweets: 1, Likes: ",0
@BadangSetiawan,"Dukung Pemberantasan Praktik Judi Online
#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: ",0
@Fatimah81819162,Astagfirullahaladzim...400.000 Pelajar di Bawah Umur 20 th Terpapar Judi Online bukan jumlah sedikit. Presiden Prabowo tlh perintahkan pemberantasan Judol sampai ke akar2nya. Kunci kebijakan ada di Komdigi. Qta brharap  Budi Arie bertgjwb atas maraknya Judol,,,,"Replies: , Retweets: 1, Likes: 2",0
@Vhienaiueo,"Pentingnya Mendukung Pemberantasan Praktik Judi Online

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: 1, Retweets: , Likes: ",0
@3Humas,"Judi online selalu bikin bangkrut karena sistem algoritmanya telah diatur agar bandar selalu menang, sementara pemain dijebak oleh kemenangan semu di awal untuk memicu kecanduan psikologis. Akibat efek manipulasi otak yang terus merasa ""hampir menang"", pecandu akan terjebak dalam",,,,"Replies: , Retweets: , Likes: 1",0
@SuraaaD1979,"Lu lebih percaya Komdigi yang ngasih alasan belibet dalam pemberantasan judi online, atau STEAM yang literally menang di pengadilan melawan Rotschild?",,@pak_erte92,,"Replies: 1, Retweets: , Likes: 2",0
@backproperties,"Demi masa depan yang lebih baik, kita dukung pemberantasan judi online! Lindungi diri dan orang-orang terdekat dari dampak negatifnya  

#IndonesiaBersih #PrabowoBersamaKita #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: ",1
@LovaHandayani,"Saat ini komdigi sudah sikat 2,4 juta judi online. Bukti komitmen pemerintah dalam menciptakan ruang digital yg sehat dan produktif. Masyarakat sudah semakin lega dgn di gencarnya pemberantasan judol ini #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: ",1
@MatiPocong1,"Judi Online bikin sengsara dan merusak Nalar!!  Karena itulah sangat Penting bagi masyarakat Indonesia untuk Mendukung Penuh Pemberantasan Praktik Judi Online Oleh Pemerintahan Presiden Prabowo Subianto  ini. 

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: ",0
@Akomeng6,"Yes!...  Kita kita dukung (Komdigi) melawan tipu-tipu Jud0L.

Kementerian Komunikasi dan Digital mengungkapkan trus menabuh genderang perang terhadap pemberantasan praktik judi online 

#PrabowoMendahulukanRakyat
Dilan Vanessa Deep Seek Ojol Pagiii 
Ubur #2egin4Cantik #TimnasDayp",,,,"Replies: 1, Retweets: 3, Likes: 3",1
@Dewisarita62,"Judi Online bikin sengsara Lur. Karena itulah sangat Penting bagi Kita untuk Mendukung Pemberantasan Praktik Judi Online
Oleh Pemerintahan Presiden Prabowo Subianto 

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: ",0
@HarcumTj,Masa depan cerah Indonesia tanpa judi online. Mari kita dukung pemberantasan praktik ini! #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas,,,,"Replies: , Retweets: , Likes: ",0
@Harian_Jogja,"Pemberantasan Judi Online, Pemblokiran Disebut Kementerian Komdigi Tidak Manjur",,,,"Replies: , Retweets: , Likes: ",0
@CariSini79113,"Lagi rame banget! POV Warga Komentari Komdigi Blokir Cloudflare Karena Gabisa Berantas Judi Online! Solusinya kok malah blokir platform yang kita pakai buat kerja dan belajar? Fokus utamanya harusnya ke pemberantasan, bukan blokir yang salah sasaran!  #Komdigi #Kominfo #Blokir",,,,"Replies: , Retweets: , Likes: ",0
@25054af33038475,Knp Bu.. untuk memberantas judi online harus melibatkan banyak orang dan banyak organisasi...? Apa nggak cukup dengan polri dan kementerian komdigi..? Sepertinya ibu ini ingin membebankan pemberantasan judi online ini kepada banyak pihak....?,,@geloraco,,"Replies: , Retweets: , Likes: ",0
@Harian_Jogja,"Pemberantasan Judi Online, Pemblokiran Disebut Kementerian Komdigi Tidak Manjur 
https://
ototekno.harianjogja.com/read/2025/07/0
5/503/1219544/pemberantasan-judi-online-pemblokiran-disebut-kementerian-komdigi-tidak-manjur
…",,,,"Replies: , Retweets: , Likes: ",0
@hardiansah82021,"Sebelum bilang sulit diberantas, masyarakat tentu berhak bertanya: apakah pekerjaan Anda sudah baik? Apakah kinerja Komdigi memang benar-benar sudah maksimal? Bagaimana sistem kerja untuk memberantas judi online?

baca-selengkapnya 
https://
affiliasi.online/blog/pemberant
asan-judol-di-indonesia
…
#Indonesia #InfoBandung",,,,"Replies: , Retweets: , Likes: ",0
@jani_jadul,Kolaborasi antar-instansi makin kuat: Meutya Hafid (Komdigi) menegaskan bahwa pemberantasan judi online melibatkan teknologi & lintas sektor untuk dampak sosial yg lebih besar. #KonsistenBerantasJudol,,,,"Replies: , Retweets: , Likes: ",1
@hutapeacpg,"Apresiasi Tingkat tinggi kepada Menkomdigi Meutya Hafid yg menggandeng Polri dalam Pemberantasan Judi Online di Internal Kementerian Komdigi.Langkah Meutya Hafid WAJIB DIIKUTI oleh Para Menteri Kabinet Merah Putih yg lain,yg bekerja secara senyap dan ada hasil kerja tuk rakyat",,,,"Replies: , Retweets: , Likes: ",1
@OposisiCerdas,"Pegawai Komdigi Tersangka Judol, Kok Budi Arie Pernah Dapat Penghargaan Pemberantasan Judi Online? 
https://
oposisicerdas.com/2024/11/pegawa
i-komdigi-tersangka-judol-kok.html
…",,,,"Replies: 6, Retweets: 51, Likes: 68",0
@Capitalisborju,"Ga usah ngibul susah payah deh, 

 Om Bowo, anak buah lu ngibul tuh... 

Masa beginian hrs gw yg ngajarin sih  !!  


https://
inet.detik.com/law-and-policy
/d-8117254/komdigi-ungkap-susah-payah-basmi-judi-online-ajak-warga-ikut-berperan
…

Komdigi mengajak masyarakat berperan dalam pemberantasan judi online.",,,,"Replies: 2, Retweets: , Likes: 3",0
@Bank_Joee_,"Komdigi sebagai portal utama Pemberantasan Judi Online .. 

Komitmen yg harus di dukung semua nya ... 
Lawan dan Berantas Judi Online

Wamen Angga Raka Dorong Pegawai Komdigi Komitmen Ikut Berantas Judi Online 
https://
holopis.com/2024/11/19/wam
en-angga-raka-dorong-pegawai-komdigi-berantas-judi-online/
… lewat 
@holopiscom",@holopiscom,,,"Replies: 1, Retweets: , Likes: 1",1
@beritaKBR,"https://
kbr.id/berita/terbaru
/diperiksa-terkait-judi-online-budi-arie-saya-bantu-polisi
…

""Sebagai warga negara yang taat hukum, saya berkewajiban untuk membantu pihak kepolisian dalam penuntasan pemberantasan kasus judi online di lingkungan Komdigi. Yang kedua pemberantasan judi online merupakan tugas kita bersama sebagai sesama anak bangsa,""",,,,"Replies: , Retweets: , Likes: ",0
@beritaKBR,"Perang terhadap judi online memasuki babak baru dengan terbongkarnya keterlibatan pegawai  Komdigi. Mereka diduga menyalahgunakan wewenang untuk meraup keuntungan. 

Apa tindak lanjutnya? Bagaimana arah pemberantasan judol ke depan? 

BESOK di #RuangPublikKBR bersama 
@CISSReC",@CISSReC,,,"Replies: , Retweets: , Likes: 2",0
@PartaiSocmed,"INFO A99!! 
POLRI has just arrested officials from Komdigi (formerly Kominfo) under the Dirjen APTIKA in connection with online gambling. There are still several others who are currently being hunted down! 
They should be at the forefront of eradicating online gambling but",,,,"Replies: 275, Retweets: 616, Likes: 2.8K",0
@inilahdotcom,"Sebanyak sebelas orang ditangkap terkait kasus judi online, dan yang mengejutkan, sepuluh di antaranya adalah pegawai serta staf ahli di Kementerian Komunikasi dan Digital (Komdigi). Padahal, lembaga ini seharusnya menjadi garda depan dalam pemberantasan judi online di Indonesia!",,,,"Replies: 1, Retweets: 1, Likes: 2",0
@humasjabar,"Judi Online Bikin Bangkrut 

Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring.

#AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol",,,,"Replies: , Retweets: , Likes: ",0
@_hompimpha,"Potret tragedi moral dan krisis nalar di masyarakat kita.

Ini tamparan bagi upaya pemberantasan korupsi. Tanpa adanya sanksi sosial yang tegas dari masyarakat, penjara hanya akan menjadi ""istirahat sejenak"" bagi para koruptor sebelum mereka kembali menikmati privilese sosialnya.",,,@MiskinTV_,"Replies: , Retweets: , Likes: ",0
@UMonline,Platform gagal tangani judi dalam talian boleh didenda RM10 juta,,,,"Replies: , Retweets: 1, Likes: 1",0
@VIVAcoid,"Jelang Piala Dunia 2026, Kapolri Kirim Peringatan Keras untuk Bandar Judi! Satgas Anti Mafia Bola 'Hidup' Lagi",,,,"Replies: , Retweets: , Likes: ",0
@kompascom,"{Thread}

Oknum pegawai Kementerian Komunikasi dan Digital (Komdigi), yang seharusnya menjadi garda terdepan pemberantasan situs judi online, justru menjadi pihak yang menjaganya tetap subur.",,,,"Replies: 16, Retweets: 53, Likes: 140",0
@Ari3Pras,"Semakin meruncing komitmen dari eksekutif dan legislatif thd langkah2 pemberantasan judi online dan pinjaman online, serta membongkar seluruh stake holder yg terlibat.

""Kalau sampai ke mantan menteri ya kita buka sampai ke sana.""

Raker DPR dengan Menteri Komdigi 
@kemkominfo
 ",@kemkominfo,,,"Replies: , Retweets: 2, Likes: 1",0
@kompascom,"Oknum pegawai Komdigi yang seharusnya menjadi garda terdepan pemberantasan situs judi online, justru menjadi pihak yang menjaganya tetap subur. 

~N #Judol #Komdigi #JudiOnlien",,,,"Replies: 81, Retweets: 90, Likes: 184",0
@yoo_jiminae,"Tukan demiAllaah setakut itu gue jadinya dikira seller gabisa jadi korban, seller juga bisa kan jadi korban kek gini salah satunya. Para buyer daripada minta2 identitas instead of proof2 ticket or else, mending skip aja cari seller lain. Asli merinding banget",,,@thhhvoo,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
akunsibayaktoto.site is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@HumasJatiasih,"JANGAN BIARKAN JUDOL MENGENDALIKAN DIRIMU

Judi online bukan sekadar hiburan, tetapi ancaman nyata bagi kestabilan finansial dan kehidupan pribadi. jangan sampai terjerat dan kehilangan kendali. Segera laporkan melalui layanan 110 jika menemukan indikasi judi online.",,,,"Replies: , Retweets: , Likes: 1",0
@safenetvoice,"Received a love letter from Komdigi?

SAFEnet and REMOTIVI invite the public to collectively document violations of freedom of expression occurring on social media in the form of warnings from platforms or direct content takedowns.

Come on, join in reporting and documenting",,,,"Replies: 11, Retweets: 6.2K, Likes: 7.4K",0
@PPATK,"Hai #FIUtizen

Mekanisme judi online dirancang untuk membuat pemain terus terlibat tanpa benar-benar menyadari risiko yang dihadapi.

Dampaknya tidak hanya terbatas pada kerugian finansial, tetapi juga dapat memengaruhi kondisi mental dan kualitas hidup secara keseluruhan.
#PPATK",,,,"Replies: , Retweets: 1, Likes: 1",0
@Harian_Jogja,"Judi Online Ancam Anak Indonesia, KemenPPPA Ajak Warga Segera Melapor",,,,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
senyumtotob7.com is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@ANTI_ILEGAL,"OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
zeus138jaminan.com is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article 45(3)",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@radarmasnetwork,"Polres Purbalingga melakukan pemeriksaan mendadak untuk menjaga disiplin anggotanya. Fokus utama adalah menghindari praktik judi online. Hasilnya positif, tidak ada pelanggaran terdeteksi. Disiplin tetap jadi prioritas! #Polri #Disiplin #JudiOnline",,,,"Replies: , Retweets: , Likes: ",1
@kemkomdigi,"The Minister of Communication and Digital Affairs also invites the public to use the World Cup as a momentum to strengthen unity and sportsmanship, as well as to avoid negative practices such as online gambling and illegal football betting.

#Kemkomdigi #Menkomdigi #WorldCup2026",,@kemkomdigi,,"Replies: 1, Retweets: , Likes: ",0
@MediaPermata,"S’pura ketatkan penguatkuasaan perjudian haram Piala Dunia 2026⁠

#MediaPermata #BeritaBrunei #ASEAN #singapura #ketatkan #penguatkuasaan #perjudian #haram #pialadunia",,,,"Replies: , Retweets: , Likes: ",0
@Logika_saya,"Mengingatkan saja ke 

@KPU_ID
 
Manipulasi data kalian di 2024 pemenangan by design telah merusak negara ini
Kalian akan dimintai pertanggungjawaban di judgment day 
Cc

@Kemenag_RI
 

@DPR_RI
 
Bertaubatlah dengan meminta maaf pada seluruh rakyat negeri ini.","@KPU_ID, @Kemenag_RI, @DPR_RI",,,"Replies: 1, Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
madunikmat303.shop is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77a.store and 
http://
hanoman77.info — including subdomains 
http://
nn004.hanoman77a.store and 
http://
hanoman77.info/fymr — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@utamanewscom,"Judi Online Hancurkan Segalanya: Ludes Rp297 Juta, Karyawan di Dairi Rekayasa Jadi Korban Begal",,,,"Replies: , Retweets: , Likes: ",0
@xLanglangBuana,"Bukan nggak boleh Komdigi bertindak tegas melawan disinformasi terhadap pemerintah.

Tapi Komdigi yang sangat gercep terhadap pelanggan yang dilakukan, tapi membiarkan JUDOL yang makin merajalela, jadi nggak bisa tidak kita menganggap Komdigi hanya jadi alat kontrol rakyat.",,,@kurawa,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
kota188win.com, 
http://
linkkota188.com, 
http://
main-kota188.com, 
http://
gacor-kota188.com, and 
http://
kota188yess.com — including subdomains 
http://
go.kota188win.com, 
http://
link7.main-kota188.com, and 
http://
a.gacor-kota188.com — are",@Namecheap,,,"Replies: , Retweets: , Likes: ",1
@vita_AVP,"Karena oksigen belum bisa dimonopoli, jadi air putih duluan yang dibisnisin.

Aturannya sederhana: di dalam gedung boleh jualan, tapi hak dasar jangan digadai. Haus itu kebutuhan biologis, bukan opsi premium. Mau konser, bioskop, atau foodcourt, orang bawa air sendiri itu bukan",,,@MenteriPekerja,"Replies: , Retweets: , Likes: ",0
@GesuriID,"Sudin Soroti Narkoba, Judi Online, Pinjaman Online Ilegal, Hingga Kejahatan Digital di Kota Bandar Lampung",,,,"Replies: , Retweets: , Likes: ",0
@narkosun,"Sebenarnya maunya Jaksa ke Nadiem ini apa?

Narasinya berubah-ubah terus. Dakwaannya adalah perbuatan melawan hukum dan kerugian negara. Dasarnya audit BPKP senilai Rp1,5 triliun. Namun, dakwaan Rp2,1 triliun. Kita aja yg lihat bingung.

Trus pada replik disebut kejahatan White",,,@narkosun,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
obakitchensacramento.com and 
http://
manismd.store are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing",@Namecheap,,,"Replies: 1, Retweets: , Likes: 1",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77vip.xyz and 
http://
hanoman77z.live — including subdomain 
http://
na001.hanoman77z.live — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77b.art and 
http://
hanoman77c.site — including subdomain 
http://
om001.hanoman77c.site — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: , Retweets: , Likes: ",0
@kejaritapsel," Cuan Instan atau Jebakan? 

Di era digital, judi online sering tampil dengan janji keuntungan besar dalam waktu singkat. Namun di balik iming-iming tersebut, terdapat risiko yang tidak sedikit, mulai dari kerugian finansial, gangguan sosial, hingga konsekuensi hukum.

(c)",,,,"Replies: 1, Retweets: , Likes: ",0
@PolsekSmdKota, Judi Online Bikin Kantong Kosong! ,,,,"Replies: , Retweets: , Likes: ",0
@polres_madiun,"STOP JUDI ONLINE & JUDI NOMOR!

#PolresMadiun #StopJudiOnline #StopJudiNomor #JudiMerusakMasaDepan #PolriPresisi #CallCenter110 #KabupatenMadiun #MadiunAman #BebasJudi #PolriUntukMasyarakat #JauhiJudi #IndonesiaTanpaJudiOnline",,,,"Replies: 8, Retweets: 2, Likes: 33",0
@fransis74201222,"YANG ANTEK ASING YANG  NYOGOK PAMAN SAM , BANTU PERANG SRIWIL DENGAN MEMERAS RAKYAT .ANTEK ASING  YG JUAL ? APA DI KASIH GRATIS ?   AIR PORT  KERTAJATI . NYOGOK TERUUS TAKUT DI ADILI SEBAGAI   PELANGGAR HAM .HARUS SEGERA DIADILI  AGAR TIDAK  MENJADI - JADI   ZHOLIIM NYA .",,,@RayylambeabangR,"Replies: , Retweets: 1, Likes: 1",0
@PolsekSara45441,"STOP JUDI ONLINE & JUDI NOMOR!

Polres Madiun mengimbau seluruh masyarakat Kabupaten Madiun untuk menjauhi segala bentuk perjudian, baik judi online maupun judi nomor yang saat ini semakin marak dan mudah diakses.

Jangan sampai tergiur iming-iming keuntungan instan.",,,,"Replies: , Retweets: , Likes: ",0
@HumasJatiasih,"STOP JUDI ONLINE

Judi online bukan solusi mencari keuntungan, melainkan jalan yang dapat merusak masa depan, ekonomi keluarga, dan kesehatan mental. Banyak korban kehilangan uang, terjerat utang, hingga mengalami konflik sosial akibat kecanduan judi online.",,,,"Replies: , Retweets: , Likes: 1",0
@PMejayan,"STOP JUDI ONLINE & JUDI NOMOR!

Polres Madiun mengimbau seluruh masyarakat Kabupaten Madiun untuk menjauhi segala bentuk perjudian, baik judi online maupun judi nomor yang saat ini semakin marak dan mudah diakses.",,,,"Replies: , Retweets: , Likes: ",0
@PNglegok,"Judi memang bukan gangguan kamtibmas yang terlihat secara langsung seperti pencurian, perkelahian, atau tindak kriminal lainnya. Namun, dampaknya dapat merusak sendi-sendi kehidupan masyarakat, terutama ekonomi dan kesehatan mental keluarga.",,,,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77b.online and 
http://
hanoman77.art — including subdomain 
http://
mp001.hanoman77b.online — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@Kamzam08477773,"Ka ka ka!!  Aktiviti2 haram spt : A""lon g, Ayam, hiburan 2, nudi  haram, Ekor haram   

Piala Dunia 2026: PDRM lancar Ops Soga XI kekang judi, pertaruhan haram semasa",,,,"Replies: , Retweets: , Likes: ",0
@INRI2025,"Pemerintah harus hapus aplikasi apapun jika dipakai oleh pelaku judi online utk mencuri uang milik ribuan orang tolol Indonesia


@prabowo

DPR RI
BAKTI Komdigi

@BAKTIKomdigi

#UangKita

@KemenkeuRI

Kejaksaan RI
CNBC Indonesia","@prabowo, @BAKTIKomdigi, @KemenkeuRI",,,"Replies: , Retweets: , Likes: ",0
@EranDjatmika,"blok judol?, dia orang komdigi?",,@akuserureion,,"Replies: , Retweets: 7, Likes: 210",0
@Takoyakixb,"Izin curhat le ,jujur gw umur 22 kecanduan main judol le sampe pernah gajian uang ada duit 5jt habis le gara gara judol le, nah sekarang gw mulai coba coba pinjol le karna gw dah kecanduan dan gk ada duit gw coba aj pinjol,dan ternyata coba pinjol bukan nya enak malah gw di teror",,,,"Replies: 1, Retweets: , Likes: 1",0
@riyanto_hardi,"Polisi tangkap 320 pelaku judol, ngapain kerja komdigi?",,,,"Replies: , Retweets: , Likes: ",0
@rapunjellyeuw,JUDOL NOH URUIN KOMDIGI NGAPAIN NGURUSIN SEC ACCOUNT IDIEEEE NOH BUZZER PESENAN PUSAT DI LACAKK ISINYA FAKE SMUA PESENAN,,,@kumparan,"Replies: , Retweets: , Likes: ",0
@Perkembang105,"8,1 Juta Konten Judol Diblokir!
Komdigi terus bergerak berantas judi online di ruang digital Indonesia.
Temukan konten judol? Jangan klik. Jangan sebar. Laporkan ke 
http://
aduankonten.id
Bersama kita jaga ruang digital tetap bersih!",,,,"Replies: , Retweets: , Likes: ",0
@NanaTasyana,"Komdigi gercep buat lindungin pemerintah. 
Judol ngga diurusin.",,,,"Replies: , Retweets: , Likes: ",0
@MangAgus_10,"Ini yang katanya sudah memberantas 8 juta situs judi online

Website kampus sekelas unhan aja keselip web judol

Gimana nih komdigi? Tolong atensinya dong",,,,"Replies: 8, Retweets: 23, Likes: 183",0
@Dengardengarco,"Listen, by May 2026, Komdigi has already blocked more than 3.8 million gambling sites. The number's huge, but why do they keep popping up?

- A Thread -",,,,"Replies: 1, Retweets: 3, Likes: 11",0
@vespamatic96,"Right now, 287 million Indonesian people can't access Polymarket anymore because Komdigi has carried out a blocking, saying it's ""just like gambling.""

What do you all think?",,,,"Replies: 12, Retweets: 5, Likes: 21",0
@purasahita,"pertama kali dapet SMS spam judol
komdigi bgst pada makan duit haram",,,,"Replies: , Retweets: , Likes: ",0
