Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@officialbitv,"Menkomdigi Ungkap Fakta Mengejutkan: Hampir 200 Ribu Anak Indonesia Terpapar Judol, 80 Ribu di Bawah Usia 10 Tahun 

https://
bitvonline.com/hukum-dan-krim
inal/66983/menkomdigi-ungkap-fakta-mengejutkan-hampir-200-ribu-anak-indonesia-terpapar-judol-80-ribu-di-bawah-usia-10-tahun/
…
#JudiOnline #Judol #MeutyaHafid #Komdigi #AnakTerpaparJudol #Medan #LiterasiDigital #PPATK #OJK #Polri #KejahatanDigital #bitvonline #kamis",,,,"Replies: , Retweets: , Likes: 1",0
@mrfppppp,"iya lagi anjing, buka sg aja ada iklan judol nya. komdigi tai",,,@tanyakanrl,"Replies: , Retweets: , Likes: ",0
@MariaAlkaff_,"Komdigi tidak menarasikan soal gugatan hukum terkait video YT Pak Amien Rais. 

Tapi bener, men-takedown video itu. 

: metrotv
—- 

Akun porno, akun judol masih bertebaran di mana-mana di banyak platform sosmed, gak di-take down semua? 

Kok gercepnya cuma sama video Pak AR",,,@MariaAlkaff_,"Replies: 15, Retweets: 17, Likes: 60",0
@sepuhblokm,"komdigi udh gabisa berantas judol segala mau ikut campur pake gaboleh fake account, urusin dl noh website jelek lu

bapuk",,,,"Replies: , Retweets: 2, Likes: 7",0
@Feliks_L,"If Komdigi can block Polymarket so easily, why can't they block judol? ",,,,"Replies: 2, Retweets: 1, Likes: 2",0
@peppermintbutl_,"Lagi-lagi judol dan komdigi engga becus berantas judol, dosanya gede banget mutya hafid sama orang orang yang kerja di komdigi.",,,@destipra22,"Replies: , Retweets: , Likes: ",0
@MariaAlkaff_,"Good grief, Komdigi deleted it.  
Now it's just like judol.  
—-

President Prabowo's name has appeared on the crypto prediction platform Polymarket.  

In that prediction market, users bet on ""yes"" or ""no"" options regarding the possibility of Prabowo no longer serving before",,,@MariaAlkaff_,"Replies: 7, Retweets: 14, Likes: 35",0
@johnkecops,"Kalau manajemen informasi, ini ranahnya komdigi. Mereka sama influencer/vendor pornografi, judol, wikipedia & vendor AI berani, tapi kok sama inflencer anti-vax di medsos mengkeret? Kemkes gak punya infrastruktur, tupoksi, & SDM untuk sensor medsos lho! ",,,@Yuumu2110,"Replies: 1, Retweets: , Likes: 10",0
@deekyuwan,komdigi udah mending urusin judol & pinjol aja sih,,,@VGC_News,"Replies: , Retweets: , Likes: 1",0
@nammjuuning,"Secinta apapun, gw gk bakal mau nikahin judol. Amit amit gw ikut mikir ngelunasin utang utang pinjol slot itu. 
Terang terangan aja sma ortu. Dia judol pinjol. Dan kamu gk mau. Udh kelar",,@tanyakanrl,,"Replies: , Retweets: , Likes: ",0
@Polixnews,"HEBOH! BERITA VIRAL YANG JARANG DIPUBLIKASIKAN!

""80 Ribu Anak di Bawah 10 Tahun Terpapar Judol, Komdigi: Perang Besar Sedang Dimulai!”

Ratusan ribu anak dilaporkan terpapar judi online, termasuk puluhan ribu anak usia di bawah 10 tahun. #jagaindonesia #beritaviral #fyp #komdigi",,,,"Replies: , Retweets: , Likes: 1",0
@blogcious,"Halo Komdigi staf kalian selain memburu situs bokep kerjanya main Mobile Legend? Staf yang ngasih ide begini tolong suruh fokus main game saja ganti dengan yang benar-benar mau kerja.

1. Spam Call/telemarketing 
2. Peivasi data pelanggan
3. Nomor telpon recycle
4. Situs judol",,,@tempedotc0,"Replies: 2, Retweets: , Likes: 1",0
@ayeambetutu,"Komdigi support penuh buat blokir judol, peran keluarga dan sekolah makin krusial #BerantasJudol lindungi anak dari judol",,,,"Replies: , Retweets: , Likes: ",1
@indonesiago_id,"Ayo jadi garda terdepan lawan judi online!  Menteri Komdigi Meutya Hafid ingatkan bahwa judol adalah ancaman nyata bagi ketahanan keluarga. Jangan biarkan utang dan keretakan rumah tangga menghancurkan masa depan anak-anak kita. 

#GaspolTolakJudol",,,,"Replies: 1, Retweets: , Likes: ",0
@piokharisma,Segala hal dilakukan Komdigi untuk bisa melindungi warga dari pengaruh buruk konten digital. Tapi entah kenapa judol masih bisa diakses dg mudah. Juga nomor hp pribadi yg mudah banget kesebar ke mana-mana. Antara kedua hal itu sulit banget diberantas atau emang sengaja dibiarin.,,,@kumparan,"Replies: 1, Retweets: 5, Likes: 7",0
@harippe,Ironically the first judol site komdigi has blocked lmao,,,@safenetvoice,"Replies: 1, Retweets: , Likes: ",0
@hhiimmeell,"Ya berarti komdigi isinya orang tolol semua. Sok ngerti tentang dunia game. Ngebedah market game aja gabisa, ya gimana mau tepat sasaran. Udah mending komdigi makan uang haram judol aja",,,@onnowpurbo,"Replies: , Retweets: , Likes: 9",0
@unameofme,Gue gedig komdigi pake judol,,,@tempodotco,"Replies: , Retweets: , Likes: ",0
@nyetirnyajauh,"Silencing warga bisa, giliran judol tiba tiba ambruk. Komdigi, i think we have a problem here..",,,,"Replies: 1, Retweets: , Likes: ",0
@Coupron,Sibuk amat judol kapan? @ komdigi,,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@KilatTerkini,"Judi itu dosa.. Haram..!
Tapi koq komdigi cuma blok polymarket ya? 
Judol lainnya apakabar? 

Apakah ada hubungannya sama bet tentang Prabowo di polymarket?",,,@business,"Replies: , Retweets: , Likes: ",0
@iis_manto36,"Judol aman
Korupsi makin parah
Pelanggaran HAM jalan terus
Status tersangka ga segera ditangkap
Eh tau tau: blokir wikipedia
Sayang banget banget deh sm komdigi

Kebijakan yang sangat apa?",,,,"Replies: 14, Retweets: , Likes: 15",0
@SeekHustle,"200k kids exposed to gambling, that's your sin, you know. That alarm has been ringing for a long time and you've never noticed. If you were doing your digital ministry job right, there wouldn't be 200k kids getting hit by gambling. No family would have to lose a member because of",,,@tempodotco,"Replies: 13, Retweets: 15, Likes: 48",0
@Kemenham_RI,"Komdigi berantas judol 
Komdigi pelihara judol dengan membiarkan database nomor pengguna diakses enabler judol 

WTF!?",,,,"Replies: 1, Retweets: , Likes: ",0
@irajenar,"lagian komdigi ngapain sih jir ngurusin asbunan akun satu satu, kek.. emang lu pada senganggur itu ya di kantor?
situs judol aja kaga lu beresin",,,@safenetvoice,"Replies: , Retweets: 1, Likes: 2",0
@ThE_ELm007,"Inilah salah satu alasan kenapa kementerian komdigi tidak bisa memblokir situs Judol..... 

",,,@indepenSumatera,"Replies: , Retweets: , Likes: ",0
@_titik2d_,komdigi bukannya ngurusin judol atau data jebol malah pilih ngurusin masalah receh,,,@Dospemz,"Replies: , Retweets: , Likes: ",0
@hamiyeorie,KONTOL BAJINGANNNNN KOMDIGI BANGSAT APA APAAN POTA DIBLOKIR GINI BANGSAT LU BLOKIR TU SITUS JUDOL PRABOWO SAMPAH MEUTYA HAFID SAMPAH MATI LU SEMUA MASUK NERAKA,,,,"Replies: , Retweets: , Likes: ",0
@Bang_Rosinante,"Di youtube juga pernah ada, gua lg scroll short tau² lah judol. Gatau deh komdigi ini ngerti ga sih kalo judol dilarang dalam undang-undang.

Gegara judol sekarang perputaran uang jadi makin abis. Brengsek.",,@tanyakanrl,,"Replies: 1, Retweets: 20, Likes: 894",0
@kimicikim,Komdigi kontol !!! Judol ngentot lu urusin.!!!,,,@kumparan,"Replies: , Retweets: , Likes: ",0
@R_Perkasa,"Komdigi akan gerak cepat memberantas Judol 

Judol yang dimaksud:

",,,@Polymarket,"Replies: 1, Retweets: , Likes: 1",0
@ayusdw_,"komdigi kmna sih, judol ga diurusin capek bgt jadi wni",,,@riccivall,"Replies: , Retweets: , Likes: ",0
@panji_puspo,"Orang mah urusin rakyat  malah ngurusin presiden .
Eleh"" komdigi udah kaya punya prabowo aja.
JUDOL NOH JUDOL 
https://
x.com/kemkomdigi/sta
/kemkomdigi/status/2050134400420168024
…",,,,"Replies: , Retweets: , Likes: ",0
@liogtttscrp,"Breaking: Komdigi has just taken a firm step by blocking the Polymarket site.

this can be blocked but why are gambling sites never this quick to act like this, whyyyy!!?!",,,@liogtttscrp,"Replies: 3, Retweets: 12, Likes: 52",0
@komdigi_jateng,"Seringkali kita tergoda dengan janji ""instan"", tapi ingat ""tidak ada jalan pintas menuju kekayaan"" 

Judol & Pinjol itu paket lengkap perusak hidup

Jangan sampai terjebak dalam siklus ""gali lubang tutup lubang"" yang nggak ada ujungnya.",,,,"Replies: 1, Retweets: 1, Likes: ",0
@blue_berets7," Breaking :
KOMDIGI has just taken a firm step by blocking the POLYMARKET SITE 

Why aren't gambling sites and 
porn sites blocked all at once?",,,,"Replies: , Retweets: , Likes: 1",0
@bergeloralah,"CAN'T BE ELIMINATED, HUH..! Circulation of Funds in #Judol Rp 286 Trillion in 2025, #Komdigi #Blocks 3.4 Million #Sites 
https://
bergelora.com/gak-bisa-diber
antas-nih-perputaran-dana-judol-rp-286-triliun-di-2025-komdigi-blokir-34-juta-situs/
… via @BERGELORA.COM",,,,"Replies: , Retweets: , Likes: ",0
@yvansup,"Masi bingung sama skala prioritasnya Komdigi.. Urgensinya ngblok Wikipedia atas asas PSE ini apa? 

Prabowo lho udah bilang di November kemaren klo kerugian kita akibat judol diperkirakan mencapai IDR 133 T. Ini udah jelas lebih urgent deh kayanya.. ",,,@idwiki,"Replies: , Retweets: 1, Likes: ",0
@TempeXBT,"Whooooppp.. Ada awaaaakkk 

But yeah, it really matches yesterday's reality—Polymarket & Kalshi got quick action from komdigi.. Whereas the other gambling sites are still scattered all over the place, especially in YouTube shorts.. 

Yookk, let's wipe out all the gambling",,,@orpheuskaze,"Replies: , Retweets: , Likes: 2",1
@Sanyinjiaoo,Komdigi apapun dilakukan kecuali blokir judol dan penipuan online,,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@shavyre,"Damn, why is it so quick when it's just starting out? But when it's time to pay off the online loan, it's slow as hell.",,,@salam4jari,"Replies: , Retweets: , Likes: 1",0
@MangAgus_10,"Kok rada tolol ya komdigi ini 

Blokir wikipedia yg notabene jadi wadah ilmu pengetahuan gercepnya kek flash, giliran suruh blokir judol leletnya gak ketolong

Negara opensource emang beda ",,,@idwiki,"Replies: 7, Retweets: 2, Likes: 17",0
@tanyakanrl,"Fuckin' Komdigi, this is a judol ad, you dog. I never searched for judol even once, but the moment I open TikTok, I'm shocked 'cause there's a judol ad right there, and it says ""Sponsored,"" meaning someone's deliberately advertising it. And it's not just once or twice, it's so",,,,"Replies: 326, Retweets: 1.7K, Likes: 9.2K",0
@dnyan83,Woy! Judol urusin!gak guna Komdigi!,,,@KangManto123,"Replies: , Retweets: , Likes: ",0
@rahma_nitsu,Ada judol komdigi diam.. Ada penipuan loker ke Kamboja komdigi diam.. Ada pornografi di sosmed komdigi diam.. Tapi kalo teddy yg diserang KOMDIGI AKAN LAWAN!!!!,,,@kangdede78,"Replies: , Retweets: , Likes: ",0
@katsuuudoonn,Semua nya di urusin sama komdigi kecuali judol pinjol ,,,@idwiki,"Replies: , Retweets: , Likes: ",0
@cemeNix7,"Komdigi harusnya kerja ngurus beginian
Malah ngejar Amin Rais


Ngurus judol bloon
Malah sok2an rating game

Emang komdigi ga guna",,@Makaryo0,,"Replies: 5, Retweets: 13, Likes: 232",0
@sintamudia,"Hellish inferno this is for the Komdigi office. The real gambling that's accessible and impoverishing this nation is left to multiply unchecked. The suicides are beyond counting now. From the little people, schoolkids, officials, to housewives—they've all become victims.",,,@kumparan,"Replies: , Retweets: , Likes: ",0
@lembarunika,"Instead of you worrying about unclear stuff, you'd better take care of our data security. I just gave my number to the 
@pmtkemkomdigi
 account and now I'm getting tons of judi online promo WA messages, even though I never got any before. Did a Komdigi employee leak my number or",@pmtkemkomdigi,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@baerchive,Semua dilakukan Komdigi kecuali berantas judol dan pinjol ilegal.,,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@Risayang__,"Buat adik adik kelahiran 2000an, ini namanya single mom yaa. Soalnya lakinya kecanduan judol mulu dan gapernah mikirin masa depan anak. Lebih mentingin depo daripada nafkah anak dan istri",,,,"Replies: 1, Retweets: , Likes: 6",0
@PerryGerr,"Bagi gue sih simpel, kalo judol merajalela berarti Komdigi nggak ada gunanya.",,@Kulipabrik1016,@kurawa,"Replies: , Retweets: , Likes: ",0
@OposisiCerdas,Komdigi Dianggap Tidak Becus Urus Konten Hoax Hingga Judol,,,,"Replies: 1, Retweets: 20, Likes: 17",0
@rueetinitas,"Satu klik bisa bahaya, Komdigi sediakan pengawasan digital biar anak bebas dari situs judol #BerantasJudol lindungi anak dari judol",,,,"Replies: , Retweets: , Likes: ",0
@popmatchacorn,"It's clear, the judol is being handled by hey komdigi.",,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@finfoxes_id,"Netizen langsung rame: “Lah kok Polymarket cepet diblokir, tapi judol masih banyak berkeliaran?” 

Komdigi resmi blokir situs Polymarket karena dianggap jadi platform taruhan uang berkedok prediction market, meski pakai embel-embel blockchain dan kripto.",,,,"Replies: 1, Retweets: , Likes: 1",0
@sarkaswati,"I think it's better if you all hype this up first, then once it's hyped, Komdigi says it's gambling, haram, and starts shutting down the judol spots, lololol

(not gonna happen)",,,@Polymarket,"Replies: , Retweets: , Likes: ",0
@AjWidjanarko_,komdigi finally blocked 1(one) judol... i have tears in my eyes... i can't believe it...,,,@safenetvoice,"Replies: , Retweets: , Likes: ",0
@CyberNeon_16,ga ada duit judol komdigi ga bisa beroperasi,,@edwinbazz,,"Replies: , Retweets: , Likes: 1",0
@phtigris,Lagi-lagu komdigi.. Giliran judol dibiarin,,,@idwiki,"Replies: , Retweets: , Likes: ",0
@gritstrash458st,"Komdigi help me, ini banyak banget nomor penipuan, spam, pinjol, judol telpon. 

apa ada cara ya mengatasi ini tanpa ganti nomor telepon? sayang banget ganti nomor telepon soalnya udah nyambung ke berbagai akun ini nomor 

sekali lagi mungkin Komdigi punya cara kali atasi modus",,,,"Replies: , Retweets: , Likes: ",0
@robaato_sukoco,"Komdigi ngurusin judol aja gak bener, gak usah sok-sok ngurus rating buat game dah lu, titit",,,,"Replies: , Retweets: 1, Likes: 1",0
@spiritgw12,"Always fixating on the small stuff again. Komdigi wants to mandate phone numbers for social media to make it ""accountable""? Citizens' privacy gets gutted, but when online gambling runs rampant and massive data breaches happen, it's all brushed off

Morning .. let's grab some",,,,"Replies: , Retweets: 1, Likes: 6",0
@Jelli_cent,"Udah diblokir sm Komdigi..

Gercep ya..
Judol udh nyerang anak knp ga bisa ngapa2in?

",,,@liogtttscrp,"Replies: , Retweets: , Likes: ",0
@popoktokki,Komdigi gak bisa kerja brantas judol sampe presiden indonesia dijadiin bahan judi ,,,@liogtttscrp,"Replies: , Retweets: 1, Likes: 1",0
@embah72,"Emang baru tau Wer kalau dibawah menteri gerbong kereta tengah Komdigi jadi agak² umbar kobodohan.
Makin kedepan amakin aneh dan yg bukan urusannya dia bikin sibuk sampe lupa hapus situs judol.",,,,"Replies: , Retweets: 1, Likes: 1",0
@tobasatu,"Padahal bukan video asusila  ?? Kok Di Take Down ??
Seharusnya Komdigi itu take dowb Judol,Video Porn*,Hoax,Narasi Sesat,Juga Terkhusus Harusnya Bagaimana Kasus Ijazah Dugaan Palsu Jkw/Gib Di Anulir Informasinya, Kan Atasnama Negara komdg nya ??
Berani ... ??",,,@AnKiiim_,"Replies: , Retweets: , Likes: ",0
@ferrerocherra,WOY BERANTAS JUDOL ANJENGGGGG semua lu lakuin kecuali judol. komdigi berak,,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@gegngnge,"harusnya komdigi ngurusin data masy. kok bisa bocor los dol gitu dan judol/pinjol, malah sibuk ngurus rating game. laillahaillallah emang pemerintahan di indo skala kepentingannya kebolak-balik, harusnya malu bangsa besar (kata prabowo) tp kinerja belepotan.",,,@KapudS640,"Replies: , Retweets: 2, Likes: 19",0
@inilahdotcom,"Data from the Ministry of Communication and Digital Affairs (Komdigi) stating that around 200,000 Indonesian children are exposed to online gambling (judol) has sparked public concern. Even more alarming, around 80 of them are said to still be under 10 years old.

This phenomenon",,,,"Replies: , Retweets: , Likes: 1",0
@nadorablejae,Komdigi bisa ini itu tapi gabisa blokir situs judol.,,,@kumparan,"Replies: , Retweets: , Likes: ",0
@ramydhia,Berarti Komdigi mengakui ya kalo emang gak mampu atasi masalah judol?,,@Kulipabrik1016,@kurawa,"Replies: , Retweets: , Likes: ",0
@Tehangettawar_,"Ig Kena takedown Komdigi Gaess.... demo ginian aja gercep, JUDOLL NOHH JUDOLLL!!!! HOYYYYYY!!!!!!",,,,"Replies: , Retweets: , Likes: ",0
@BukanPegawaiJP,"Ah judol again, selain komdigi yg ga ada gunannya. Cenblue2 gblk yg asal post tanpa verifikasi demi gajian dari elon lebih tidak ada gunanya.",,,@destipra22,"Replies: 1, Retweets: , Likes: ",0
@setowicaksono,"Teach You a Lesson episode 7 bahas soal usaha memberantas judol.

Pak Menteri di Korea Selatan paham tu, perlu andil dari banyak departemen dan harus merangkul/kerja sama dengan:

1. Polisi
2. Kejaksaan
3. Kemkomdigi
4. Kemhum

Di serial ini, semua harus punya andil, katanya.",,,,"Replies: , Retweets: , Likes: ",1
@detikinet,"Markas Judol Hayam Wuruk Dibekuk, Komdigi: Tidak Ada Toleransi! 
https://
inet.detik.com/law-and-policy
/d-8482430/markas-judol-hayam-wuruk-dibekuk-komdigi-tidak-ada-toleransi?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikinet
…",,,,"Replies: , Retweets: , Likes: ",0
@boxxtoc,"Advice for Komdigi: better to handle loan shark apps, gambling sites, porn sites, and porn accounts that are still rampant, rather than dealing with people who criticize the government.

If you don't want to be criticized, tell Prabowo to do his job properly, if he does it right,",,,,"Replies: 74, Retweets: 380, Likes: 996",0
@nautivelle,"super noisy, komdigi, I mean judol right in front of my eyes",,,,"Replies: , Retweets: , Likes: ",0
@doimucenah,"nice work komdigi 

so when will the gambling websites that are literally popping up everywhere be blocked too? ",,,@kumparan,"Replies: 1, Retweets: , Likes: 2",0
@erasmus70,"Ekspresi gender dan ketertarikan seksual itu hak. Tpi kalau isu ini dipakai utk merendahkan orang, kita harus lawan krn bisa menimbulkan stigma dan itu berbahaya utk minoritas seksual. 

Yang perlu dipertanyakan, seandainya Komdigi merespon Judol secepat merespon isu ini…. ",,,@AnKiiim_,"Replies: , Retweets: 1, Likes: 11",0
@HastoSuprayogo,"Agreed! The government has a heavy homework to tackle online gambling, especially as it becomes the responsibility of Minister 
@meutya_hafid
 and the 
@kemkomdigi
 team.

Instead of floating talk about AI and so on, Komdigi should just focus on real digital issues that destroy the","@meutya_hafid, @kemkomdigi",@HastoSuprayogo,@adabawangmu,"Replies: , Retweets: , Likes: 3",0
@nu_online,"Data Komdigi menyebut 200 ribu anak terpapar judol. Ini jadi ancaman serius, sehingga orang tua dan tokoh agama harus berperan membentengi. 
https://
nu.or.id/nasional/200-r
ibu-anak-terpapar-judol-komdigi-peran-tokoh-agama-hingga-orang-tua-penting-sebagai-benteng-KAeee?utm_source=dlvr.it&utm_medium=twitter
…",,,,"Replies: , Retweets: , Likes: 3",0
@geargyu,"Gw tadi liat sales toko emak gw main higgs domino, itu masuknya masih judol kan.... Sadly komdigi g ada tindak tegas buat hal ini.",,,,"Replies: , Retweets: , Likes: ",0
@keluhkesacrypto,"Some people are protesting why Polymarket got blocked while judol isn't getting blocked at all.

Well, Polymarket is basically judol too, dude.

So why are judol sites like slat so hard to block? It's not hard, because Komdigi only goes as far as blocking domains, so they just",,,,"Replies: 9, Retweets: 1, Likes: 14",0
@King_PWS_,"“Terungkap Ada WNI Alumni Judol Kamboja Jadi Pelaku Sindikat Hayam Wuruk”

>>Waspada, Jaringan Judol Internasional sudah bergeser ke Indonesia. 
>>Dan KOMDIGI juga gak mampu menghapus situs- situs Judol yang beroperasi masuk ke Indonesia.

https://
news.detik.com/berita/d-84835
84/terungkap-ada-wni-alumni-judol-kamboja-jadi-pelaku-sindikat-hayam-wuruk
…",,,,"Replies: 6, Retweets: 20, Likes: 28",0
@King_PWS_,"“Penangkapan dilakukan di lokasi operasional judol di sebuah kantor di Kawasan Jalan Hayam Wuruk, Jakarta Barat.”

>>Ayo Pak Pol, sikat- sikatin semua markas judol, kalau nunggu Komdigi nutup situsnya sudah gak keharap 


https://
nasional.kompas.com/read/2026/05/0
9/15300691/polisi-gerebek-markas-judol-di-hayam-wuruk-321-wna-ditangkap
…?",,,,"Replies: , Retweets: 7, Likes: 8",0
@pasfm,"The Minister of Communication and Digital Affairs revealed that the government has blocked 3.4 million online gambling sites. Throughout 2025, the circulation of online gambling funds reached 286 trillion rupiah, down about 30% compared to 2024. Komdigi submitted requests to OJK",,,,"Replies: , Retweets: , Likes: ",0
@sinpotv,Komdigi Blocks Polymarket Suspected of Online Gambling Disguised as Prediction Market,,,,"Replies: , Retweets: , Likes: 1",0
@deyuwi,Parah bgt ni komdigi bukannya ngeblok judol,,,@destipra22,"Replies: , Retweets: , Likes: ",0
@RadioElshinta,"#KomisiAnda Komdigi ungkap 200 ribu anak terpapar judol, bagaimana selamatkan generasi?

Komentar Anda?

Streaming

https://
elshinta.com/live/radio",,,,"Replies: , Retweets: , Likes: ",0
@cikichee,Kerjaannya cuman bisa ginian si komdigi itu????? Mendingan lu kerja ngurus judol sama kuatin lagi perlindungan data-data rakyat,,,@indepenSumatera,"Replies: , Retweets: , Likes: ",0
@alma_maximoff,Benerin dulu tub penipu penipu sama judol ya bapak ibu komdigi,,,@tanyarlfes,"Replies: , Retweets: , Likes: 2",0
@rizal_septyan,"Komdigi ngurus beginian cepet banget ya ? Giliran ngurus yang lain seperti judol, akses internet cepat dll lambat banget. ",,,@safenetvoice,"Replies: , Retweets: , Likes: ",0
@gimbot75,"Models like this one are what Komdigi handles swiftly.  
Try judol instead ",,,@tanyarlfes,"Replies: 1, Retweets: , Likes: 2",0
@marvelle_danny,"So damn good KOMDIGI 

When it's the turn of Judol sites, there are just tons of excuses .....",,,@kumparan,"Replies: 1, Retweets: 2, Likes: 16",1
@intinyadeh,"#intinyadeh Komdigi ancam blokir Wikimedia Foundation (termasuk Wikipedia & Wikimedia Commons)

Peringatan terakhir 15 Apr, klo gak daftar PSE dlm 7 hari, akan diblokir.

Netizen protes keras krn anggap Komdigi akan blokir akses thd pengetahuan, sementara web judol merajalela.",,,@tempodotco,"Replies: 39, Retweets: 940, Likes: 2.6K",0
@kompascom,"Baca selengkapnya: 
https://
nasional.kompas.com/read/2026/05/1
5/07490341/generasi-muda-dalam-bidikan-judol-hampir-200000-anak-indonesia-terpapar-masa?utm_source=twitter&utm_medium=social
…

Ancaman judi online (judol) terhadap anak-anak di Indonesia semakin nyata. Menkomdigi Meutya Hafid menyebut hampir 200.000 anak sudah terpapar judol, bahkan ada yang masih berusia di bawah 10 tahun.

~MS #komdigi #anak #indonesia",,,,"Replies: 1, Retweets: 2, Likes: 5",0
@Dpram_Back,"Itulah judol !!! 
Knp juga pemerintah tak bisa berkutik dgn aplikasi judol itu
Sangat mengherankan kan
Ada"" komdigi.""
Tapi kek tutup mata. 
Dagelan!!!",,,@Gendoet3G,"Replies: 2, Retweets: 1, Likes: 2",0
@xLanglangBuana,"Sampai hari raya kuda sekali lagi, judol nggak bisa diberantas sama Komdigi. Kehebatan Komdigi langsung hilang berhadapan dengan duit dari bandar.",,,@kurawa,"Replies: 1, Retweets: 4, Likes: 34",0
@akademicryptoid,"The Ministry of Communication and Digital Affairs (Komdigi) has officially blocked access to the Polymarket website in Indonesia, as it is deemed to constitute online gambling practices (judol) packaged as a prediction market.",,,,"Replies: 9, Retweets: 1, Likes: 25",0
@SoundOfYogi,"JUDOL LAGI GAES GARA2NYA

Komdigi malah sibuk blokir wikipedia

Tolol apa tolol itu mentri2nya si dakocan dementia?",,,@destipra22,"Replies: 2, Retweets: 7, Likes: 81",0
@HisWeihunqi,"Ordal Komdigi bukannya blokir judol malah ngegrooming via Vtuber  

Emang bener gw tinggalin itu hobi karena faktor U.",,,,"Replies: , Retweets: , Likes: ",0
@txtdaritaxpayer,"Well, Komdigi can block the Polymarket gambling website.

Why do gambling sites still keep popping up to this day?",,,@kumparan,"Replies: 177, Retweets: 1.7K, Likes: 4.2K",0
@bangherwin,"Kenapa Komdigi cepat sekali men-takedown video Amien Rais…

Tapi lambat menyentuh video hoax Ade Armando dkk?
Dan tutup mata soal iklan judol yang tiap hari lewat di timeline?

Penegakan aturan ini berdasarkan hukum…
atau siapa yang sedang berbicara?",,,,"Replies: 36, Retweets: 173, Likes: 320",0
